run_dir,setting,language_mode,language,model_family,seed,context,features,include_mwe_segment,transform,slice,n,accuracy,macro_precision,macro_recall,macro_f1,tp,tn,fp,fn,slice_group
zero_shot__EN__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,ner,True,highlight,minority_instance_ids,45,0.8888888888888888,0.8839285714285714,0.8981481481481481,0.8868778280542987,23,17,1,4,ambiguous
zero_shot__EN__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,ner,True,highlight,freqbin=1,3,1.0,1.0,1.0,1.0,1,2,0,0,freqbin
zero_shot__EN__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,ner,True,highlight,freqbin=10-19,178,0.9382022471910112,0.9393527508090616,0.935128205128205,0.936958691522586,71,96,4,7,freqbin
zero_shot__EN__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,ner,True,highlight,freqbin=2-4,10,0.8,0.8571428571428572,0.8,0.7916666666666665,3,5,0,2,freqbin
zero_shot__EN__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,ner,True,highlight,freqbin=20-29,233,0.8197424892703863,0.8326870437956204,0.8226769911504425,0.8187777777777777,104,87,33,9,freqbin
zero_shot__EN__previous_target_next_True_none_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,,True,none,ALL,424,0.839622641509434,0.8486427942868747,0.8455242737986091,0.839533382310381,183,173,54,14,ambiguous
zero_shot__EN__previous_target_next_True_none_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,,True,none,ambiguous_mwe_ids,246,0.8495934959349594,0.8164740884245485,0.8778916060806345,0.8313038643313873,64,145,33,4,ambiguous
zero_shot__EN__previous_target_next_True_none_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,,True,none,majority_instance_ids,201,0.845771144278607,0.7792459088898718,0.884984756097561,0.8048971412468298,39,131,29,2,ambiguous
zero_shot__EN__previous_target_next_True_none_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,,True,none,minority_instance_ids,45,0.8666666666666667,0.8685344827586207,0.8518518518518519,0.8581932773109244,25,14,4,2,ambiguous
zero_shot__EN__previous_target_next_True_none_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,,True,none,freqbin=1,3,1.0,1.0,1.0,1.0,1,2,0,0,freqbin
zero_shot__EN__previous_target_next_True_none_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,,True,none,freqbin=10-19,178,0.898876404494382,0.9014155712841254,0.9071794871794872,0.8986717267552182,76,84,16,2,freqbin
zero_shot__EN__previous_target_next_True_none_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,,True,none,freqbin=2-4,10,0.9,0.9166666666666667,0.9,0.898989898989899,4,5,0,1,freqbin
zero_shot__EN__previous_target_next_True_none_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,,True,none,freqbin=20-29,233,0.7896995708154506,0.8051459293394777,0.7929941002949852,0.7881385811575645,102,82,38,11,freqbin
zero_shot__EN__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,glosses,True,none,ALL,424,0.8915094339622641,0.89208857238233,0.8939824235783448,0.8914224637035717,183,195,32,14,ambiguous
zero_shot__EN__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,glosses,True,none,ambiguous_mwe_ids,246,0.8902439024390244,0.8557947396346548,0.8878056840713813,0.8690328305235138,60,159,19,8,ambiguous
zero_shot__EN__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,glosses,True,none,majority_instance_ids,201,0.8805970149253731,0.8099184089750127,0.870579268292683,0.8333793865708758,35,142,18,6,ambiguous
zero_shot__EN__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,glosses,True,none,minority_instance_ids,45,0.9333333333333333,0.9281376518218624,0.9351851851851851,0.9311575726670067,25,17,1,2,ambiguous
zero_shot__EN__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,glosses,True,none,freqbin=1,3,1.0,1.0,1.0,1.0,1,2,0,0,freqbin
zero_shot__EN__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,glosses,True,none,freqbin=10-19,178,0.9382022471910112,0.9413568166992825,0.9337179487179488,0.9367468906477145,70,97,3,8,freqbin
zero_shot__EN__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,glosses,True,none,freqbin=2-4,10,0.8,0.8571428571428572,0.8,0.7916666666666665,3,5,0,2,freqbin
zero_shot__EN__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,glosses,True,none,freqbin=20-29,233,0.8583690987124464,0.8738749046529366,0.8614675516224188,0.8575187621606597,109,91,29,4,freqbin
zero_shot__EN__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,ner,True,none,ALL,424,0.8561320754716981,0.877975914775359,0.8649679107314564,0.8555463090696855,195,168,59,2,ambiguous
zero_shot__EN__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,ner,True,none,ambiguous_mwe_ids,246,0.8536585365853658,0.8249591503267975,0.8943324520819564,0.8382170259408112,67,143,35,1,ambiguous
zero_shot__EN__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,ner,True,none,majority_instance_ids,201,0.8308457711442786,0.7733333333333333,0.89375,0.7940077164215095,41,126,34,0,ambiguous
zero_shot__EN__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,ner,True,none,minority_instance_ids,45,0.9555555555555556,0.9537037037037037,0.9537037037037037,0.9537037037037037,26,17,1,1,ambiguous
zero_shot__EN__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,ner,True,none,freqbin=1,3,1.0,1.0,1.0,1.0,1,2,0,0,freqbin
zero_shot__EN__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,ner,True,none,freqbin=10-19,178,0.8932584269662921,0.8992390615091946,0.9035897435897435,0.8931741368963012,77,82,18,1,freqbin
zero_shot__EN__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,ner,True,none,freqbin=2-4,10,0.9,0.9166666666666667,0.9,0.898989898989899,4,5,0,1,freqbin
zero_shot__EN__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,ner,True,none,freqbin=20-29,233,0.8240343347639485,0.8668831168831168,0.8291666666666666,0.8202058984058871,113,79,41,0,freqbin
zero_shot__EN__target_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,glosses,True,highlight,ALL,424,0.7759433962264151,0.7965987413844771,0.7655918066146381,0.7665617701433198,122,207,20,75,ambiguous
zero_shot__EN__target_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,glosses,True,highlight,ambiguous_mwe_ids,246,0.7764227642276422,0.7292682926829268,0.6592035690680766,0.6759048554387141,27,164,14,41,ambiguous
zero_shot__EN__target_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,glosses,True,highlight,majority_instance_ids,201,0.8059701492537313,0.6927126341866225,0.6423018292682927,0.6588327457892675,15,147,13,26,ambiguous
zero_shot__EN__target_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,glosses,True,highlight,minority_instance_ids,45,0.6444444444444445,0.7271634615384616,0.6944444444444444,0.6399999999999999,12,17,1,15,ambiguous
zero_shot__EN__target_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,glosses,True,highlight,freqbin=1,3,1.0,1.0,1.0,1.0,1,2,0,0,freqbin
zero_shot__EN__target_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,glosses,True,highlight,freqbin=10-19,178,0.7640449438202247,0.7701612903225806,0.7491025641025642,0.7527777777777778,49,87,13,29,freqbin
zero_shot__EN__target_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,glosses,True,highlight,freqbin=2-4,10,0.5,0.25,0.5,0.3333333333333333,0,5,0,5,freqbin
zero_shot__EN__target_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,glosses,True,highlight,freqbin=20-29,233,0.7939914163090128,0.8225793194147624,0.7894174041297934,0.7874087591240875,72,113,7,41,freqbin
zero_shot__EN__target_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,ner,True,highlight,ALL,424,0.7712264150943396,0.7729500891265597,0.7739327802500056,0.7711640432433635,160,167,60,37,ambiguous
zero_shot__EN__target_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,ner,True,highlight,ambiguous_mwe_ids,246,0.7723577235772358,0.7225609756097561,0.7472736285525445,0.7314619883040936,47,143,35,21,ambiguous
zero_shot__EN__target_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,ner,True,highlight,majority_instance_ids,201,0.7661691542288557,0.6680418719211823,0.7080030487804878,0.6806827784350177,25,129,31,16,ambiguous
zero_shot__EN__target_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,ner,True,highlight,minority_instance_ids,45,0.8,0.791497975708502,0.7962962962962963,0.7934727180010198,22,14,4,5,ambiguous
zero_shot__EN__target_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,ner,True,highlight,freqbin=1,3,1.0,1.0,1.0,1.0,1,2,0,0,freqbin
zero_shot__EN__target_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,ner,True,highlight,freqbin=10-19,178,0.8314606741573034,0.8304313929313929,0.826025641025641,0.8277863777089782,61,87,13,17,freqbin
zero_shot__EN__target_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,ner,True,highlight,freqbin=2-4,10,0.7,0.8125,0.7,0.6703296703296704,2,5,0,3,freqbin
zero_shot__EN__target_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,ner,True,highlight,freqbin=20-29,233,0.7253218884120172,0.7412198912198913,0.7289454277286136,0.7226190476190476,96,73,47,17,freqbin
zero_shot__EN__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,glosses,True,none,ALL,424,0.8514150943396226,0.8836519114688128,0.8411078065251907,0.8448843542945408,137,224,3,60,ambiguous
zero_shot__EN__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,glosses,True,none,ambiguous_mwe_ids,246,0.8861788617886179,0.9048913043478262,0.8077495042961005,0.8401559454191032,43,175,3,25,ambiguous
zero_shot__EN__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,glosses,True,none,majority_instance_ids,201,0.8805970149253731,0.8757938446507083,0.7345274390243902,0.7769970414201184,20,157,3,21,ambiguous
zero_shot__EN__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,glosses,True,none,minority_instance_ids,45,0.9111111111111111,0.9090909090909092,0.9259259259259259,0.91,23,18,0,4,ambiguous
zero_shot__EN__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,glosses,True,none,freqbin=1,3,0.6666666666666666,0.3333333333333333,0.5,0.4,0,2,0,1,freqbin
zero_shot__EN__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,glosses,True,none,freqbin=10-19,178,0.8876404494382022,0.9111581920903955,0.8732051282051282,0.8816646722510304,59,99,1,19,freqbin
zero_shot__EN__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,glosses,True,none,freqbin=2-4,10,0.8,0.8571428571428572,0.8,0.7916666666666665,3,5,0,2,freqbin
zero_shot__EN__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,glosses,True,none,freqbin=20-29,233,0.8283261802575107,0.8652181152181152,0.8235250737463127,0.8222730739893211,75,118,2,38,freqbin
zero_shot__EN__target_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,ner,True,none,ALL,424,0.8915094339622641,0.89208857238233,0.8939824235783448,0.8914224637035717,183,195,32,14,ambiguous
zero_shot__EN__target_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,ner,True,none,ambiguous_mwe_ids,246,0.8536585365853658,0.813855421686747,0.8443489755452742,0.8260527969830295,56,154,24,12,ambiguous
zero_shot__EN__target_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,ner,True,none,majority_instance_ids,201,0.835820895522388,0.7530234315948602,0.8061737804878049,0.7725698611349219,31,137,23,10,ambiguous
zero_shot__EN__target_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,ner,True,none,minority_instance_ids,45,0.9333333333333333,0.9281376518218624,0.9351851851851851,0.9311575726670067,25,17,1,2,ambiguous
zero_shot__EN__target_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,ner,True,none,freqbin=1,3,0.6666666666666666,0.3333333333333333,0.5,0.4,0,2,0,1,freqbin
zero_shot__EN__target_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,ner,True,none,freqbin=10-19,178,0.8820224719101124,0.881747572815534,0.8780769230769231,0.8796484110885734,66,91,9,12,freqbin
zero_shot__EN__target_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,ner,True,none,freqbin=2-4,10,0.9,0.9166666666666667,0.9,0.898989898989899,4,5,0,1,freqbin
zero_shot__EN__target_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,target,ner,True,none,freqbin=20-29,233,0.9012875536480687,0.9154411764705883,0.9041666666666667,0.9008198693391076,113,97,23,0,freqbin
zero_shot__PT__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,glosses,True,none,ALL,207,0.6135265700483091,0.5788590604026846,0.5670767716535433,0.5652173913043479,29,98,29,51,ambiguous
zero_shot__PT__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,glosses,True,none,ambiguous_mwe_ids,113,0.5221238938053098,0.506045519203414,0.5053763440860215,0.4975296442687747,17,42,20,34,ambiguous
zero_shot__PT__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,glosses,True,none,majority_instance_ids,77,0.5324675324675324,0.35964912280701755,0.3360655737704918,0.34745762711864403,0,41,20,16,ambiguous
zero_shot__PT__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,glosses,True,none,minority_instance_ids,36,0.5,0.5263157894736842,0.7428571428571429,0.3769230769230769,17,1,0,18,ambiguous
zero_shot__PT__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,glosses,True,none,freqbin=1,3,1.0,0.5,0.5,0.5,0,3,0,0,freqbin
zero_shot__PT__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,glosses,True,none,freqbin=10-19,157,0.6178343949044586,0.5777310924369747,0.5603951890034364,0.5549886621315192,19,78,19,41,freqbin
zero_shot__PT__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,glosses,True,none,freqbin=2-4,4,0.5,0.25,0.5,0.3333333333333333,0,2,0,2,freqbin
zero_shot__PT__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,glosses,True,none,freqbin=20-29,43,0.5813953488372093,0.5760869565217391,0.5777777777777777,0.5756578947368421,10,15,10,8,freqbin
zero_shot__PT__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,ner,True,none,ALL,207,0.6859903381642513,0.6676397933977094,0.6469488188976378,0.6504559270516717,38,104,23,42,ambiguous
zero_shot__PT__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,ner,True,none,ambiguous_mwe_ids,113,0.6283185840707964,0.6335562549173879,0.6073687539531942,0.5980691056910569,20,51,11,31,ambiguous
zero_shot__PT__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,ner,True,none,majority_instance_ids,77,0.6493506493506493,0.3787878787878788,0.4098360655737705,0.3937007874015748,0,50,11,16,ambiguous
zero_shot__PT__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,ner,True,none,minority_instance_ids,36,0.5833333333333334,0.53125,0.7857142857142857,0.42245989304812837,20,1,0,15,ambiguous
zero_shot__PT__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,ner,True,none,freqbin=1,3,1.0,0.5,0.5,0.5,0,3,0,0,freqbin
zero_shot__PT__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,ner,True,none,freqbin=10-19,157,0.6624203821656051,0.6380873103958564,0.6282646048109966,0.6307193893400789,29,75,22,31,freqbin
zero_shot__PT__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,ner,True,none,freqbin=2-4,4,0.5,0.25,0.5,0.3333333333333333,0,2,0,2,freqbin
zero_shot__PT__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,previous_target_next,ner,True,none,freqbin=20-29,43,0.7674418604651163,0.8136363636363637,0.73,0.7352216748768473,9,24,1,9,freqbin
zero_shot__PT__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,target,glosses,True,none,ALL,207,0.6231884057971014,0.5925472747497219,0.5818897637795275,0.5819697597348799,32,97,30,48,ambiguous
zero_shot__PT__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,target,glosses,True,none,ambiguous_mwe_ids,113,0.6371681415929203,0.6429398148148149,0.6171726755218216,0.6096554048361278,21,51,11,30,ambiguous
zero_shot__PT__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,target,glosses,True,none,majority_instance_ids,77,0.6493506493506493,0.3787878787878788,0.4098360655737705,0.3937007874015748,0,50,11,16,ambiguous
zero_shot__PT__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,target,glosses,True,none,minority_instance_ids,36,0.6111111111111112,0.5333333333333333,0.8,0.43749999999999994,21,1,0,14,ambiguous
zero_shot__PT__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,target,glosses,True,none,freqbin=1,3,0.6666666666666666,0.5,0.3333333333333333,0.4,0,2,1,0,freqbin
zero_shot__PT__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,target,glosses,True,none,freqbin=10-19,157,0.5732484076433121,0.5337301587301587,0.5306701030927835,0.5292459163123742,21,69,28,39,freqbin
zero_shot__PT__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,target,glosses,True,none,freqbin=2-4,4,0.75,0.8333333333333333,0.75,0.7333333333333334,1,2,0,1,freqbin
zero_shot__PT__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,target,glosses,True,none,freqbin=20-29,43,0.7906976744186046,0.8295454545454546,0.7577777777777778,0.7658802177858439,10,24,1,8,freqbin
zero_shot__PT__target_True_none_ner__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,target,ner,True,none,ALL,207,0.5748792270531401,0.5573226984432058,0.5587106299212599,0.557520404197435,39,80,47,41,ambiguous
zero_shot__PT__target_True_none_ner__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,target,ner,True,none,ambiguous_mwe_ids,113,0.5575221238938053,0.5477642276422765,0.5445920303605313,0.5416937053861128,21,42,20,30,ambiguous
zero_shot__PT__target_True_none_ner__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,target,ner,True,none,majority_instance_ids,77,0.5324675324675324,0.35964912280701755,0.3360655737704918,0.34745762711864403,0,41,20,16,ambiguous
